Target,Year,Uniprot,ProteinName,Resolution,pIC50,Unit,Molecule ID
1gzg,2002,Q59643,DELTA-AMINOLEVULINIC ACID DEHYDRATASE,1.66,3.05,IC50=0.9mM,LAF
1gj8,2002,P00749,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,1.64,6.96,Ki=0.11uM,133
1jyc,2002,P02866,CONCANAVALIN A,2.75,4.34,Kd=0.046mM,15-mer
1g7q,2002,P01901,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B",1.60,6.06,Kd=877nM,8-mer
1g7p,2002,P01901,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B",1.50,7.05,Kd=90nM,9-mer
1fd0,2002,P13631,RETINOIC ACID RECEPTOR GAMMA-1,1.38,8.4,Kd=4nM,254
1n4k,2002,P11881,"INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1",2.20,10.05,Kd=0.09nM,I3P
1leg,2002,P01901,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B",1.75,7.95,Kd=11.1nM,8-mer
1jyi,2002,P02866,CONCANAVALIN A,2.75,4.0,IC50=100uM,12-mer
1jif,2002,Q53793,BLEOMYCIN-BINDING PROTEIN,1.60,6.2,Kd=630nM,BLM
1kav,2002,P18031,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",2.35,5.82,Ki=1.5uM,FEP
1is0,2002,P00524,C-SRC TYROSINE KINASE,1.90,7.0,Kd=0.1uM,4-mer
1gja,2002,P00749,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,1.56,5.42,Ki=3.8uM,135
1h2t,2002,Q09161,80 KDA NUCLEAR CAP BINDING PROTEIN,2.15,7.89,Kd=13nM,GDP-7MG
1iiq,2002,P03367,HIV-1 PROTEASE,1.83,7.48,Ki=33nM,0ZR
1h2u,2002,Q09161,80 KDA NUCLEAR CAP BINDING PROTEIN,2.40,7.89,Kd=13nM,GDP-7MG
1gi6,2002,P00760,TRYPSIN BETA,1.49,6.22,Ki=0.60uM,124
1gj7,2002,P00749,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,1.50,7.89,Ki=0.013uM,132
1ljt,2002,P14174,MACROPHAGE MIGRATION INHIBITORY FACTOR,2.00,5.15,IC50=7uM,HDI
1jqy,2002,P32890,HEAT-LABILE ENTEROTOXIN B CHAIN,2.14,4.92,Ki=12uM,A32
1m74,2002,P28366,PREPROTEIN TRANSLOCASE SECA,3.00,7.0,Kd=100nM,ADP
1eb1,2002,P00734,THROMBIN HEAVY CHAIN,1.80,10.43,Ki=37pM,10-mer
1gjb,2002,P00749,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,1.90,6.35,Ki=0.45uM,130
1gjc,2002,P00749,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,1.73,6.35,Ki=0.45uM,130
1jys,2002,P24247,MTA/SAH NUCLEOSIDASE,1.90,3.52,Ki=300uM,ADE
1lek,2002,P01901,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B",2.15,8.89,Kd=1.3nM,8-mer
1lbf,2002,Q06121,INDOLE-3-GLYCEROL PHOSPHATE SYNTHASE,2.05,7.85,Kd=0.014uM,137
1m7y,2002,P37821,1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE,1.60,10.96,Kd=0.011nM,PPG
1gx8,2002,P02754,BETA-LACTOGLOBULIN,2.40,6.37,Kd=0.43uM,RTL
1gyy,2002,P31992,HYPOTHETICAL PROTEIN YDCE,1.35,3.64,Ki=230uM,FHC
1los,2002,O26232,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,1.90,7.19,Ki=64nM,UP6
1ktt,2002,P00734,THROMBIN,2.10,5.82,IC50=1.5uM,C02
1gwq,2002,P03372,ESTROGEN RECEPTOR,2.45,7.12,Kd=76nM,9-mer
1kyv,2002,Q9UUB1,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",2.40,5.92,Kd=1.2uM,RBF
1gwr,2002,P03372,ESTROGEN RECEPTOR,2.40,6.6,Kd=250nM,12-mer
1g50,2002,P03372,ESTROGEN RECEPTOR,2.90,6.28,Kd=0.53uM,EST
1gu3,2002,P14090,ENDOGLUCANASE C,2.30,4.32,Kd=47.6uM,5-mer
1ksn,2002,P00742,COAGULATION FACTOR XA,2.10,9.4,Ki=0.4nM,FXV
1kui,2002,O57413,METALLOPROTEINASE,1.50,3.77,Ki=0.169mM,3-mer
1kf0,2002,Q7SIB7,PHOSPHOGLYCERATE KINASE,2.50,2.55,Kd=2.80mM,ACP
1jm4,2002,Q92831,HIV-1 TAT PEPTIDE,NMR,5.0,Kd=10uM,11-mer
1kuk,2002,O57413,METALLOPROTEINASE,1.45,3.91,Ki=0.124mM,3-mer
1g85,2002,P07435,ODORANT-BINDING PROTEIN,1.80,5.48,Kd=3.3uM,3OL
1g9t,2002,P0A9M2,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE,2.80,3.28,Ki=526uM,5GP
1g9s,2002,P0A9M2,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE,2.80,3.61,Ki=247uM,IMP
1kug,2002,O57413,METALLOPROTEINASE,1.37,3.8,Ki=0.160mM,3-mer
1h8l,2002,Q90240,CARBOXYPEPTIDASE GP180 RESIDUES 503-882,2.60,7.47,Ki=34nM,GEM
1lf3,2002,P46925,PLASMEPSIN-2,2.70,7.0,Ki=100nM,EH5
1lf2,2002,P46925,PLASMEPSIN-2,1.80,7.52,Ki=30nM,R37
1ke9,2002,P24941,CELL DIVISION PROTEIN KINASE 2,2.00,6.18,IC50=660nM,LS5
1ghz,2002,P00760,TRYPSIN BETA,1.39,4.8,Ki=16uM,120
1kc7,2002,P22983,PYRUVATE PHOSPHATE DIKINASE,2.20,5.52,Ki=3uM,PPR
1gj4,2002,P00734,THROMBIN,1.81,4.07,Ki=85uM,132
1gz4,2002,P23368,NAD-DEPENDENT MALIC ENZYME,2.20,3.7,Ki=0.2mM,ATP
1mzs,2002,P0A6R0,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 3,2.10,5.15,IC50=7.0uM,669
1ghw,2002,P00734,THROMBIN,1.75,4.2,Ki=63uM,BMZ
1ghv,2002,P00734,THROMBIN,1.85,4.35,Ki=45uM,120
1kll,2002,O05205,MITOMYCIN-BINDING PROTEIN,1.50,5.2,Kd=6.3uM,_MC
1j01,2002,P07986,"BETA-1,4-XYLANASE",2.00,6.47,Ki=0.34uM,XIL
1jqe,2002,P50135,HISTAMINE N-METHYLTRANSFERASE,1.91,6.44,Ki=0.36uM,QUN
1d4j,2002,P03366,HIV-1 PROTEASE,1.81,8.36,Ki=4.40nM,MSC
1gj5,2002,P00734,THROMBIN,1.73,4.96,Ki=11uM,130
1l2z,2002,O95400,CD2 ANTIGEN (CYTOPLASMIC TAIL)-BINDING PROTEIN 2,NMR,3.69,Kd=203uM,11-mer
1lee,2002,P46925,PLASMEPSIN-2,1.90,7.74,Ki=18nM,R36
1lor,2002,O26232,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,1.60,11.06,Ki=8.8pM,BMP
1inq,2002,P01899,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, D-B",2.20,6.27,IC50=539nM,9-mer
1l5s,2002,P06737,GLYCOGEN PHOSPHORYLASE,2.10,3.26,Kd=550uM,URC
1l5q,2002,P06737,GLYCOGEN PHOSPHORYLASE,2.25,3.97,Kd=108uM,CFF
1n1m,2002,P27487,DIPEPTIDYL PEPTIDASE 4,2.50,5.7,Ki=2uM,A3M
1ec1,2002,P03366,HIV-1 PROTEASE,2.10,8.92,Ki=1.20nM,BEE
1kv1,2002,Q16539,MITOGEN-ACTIVATED PROTEIN KINASE P38,2.50,5.94,Kd=1.16uM,BMU
1jdj,2002,P90551,GLYCEROL-3-PHOSPHATE DEHYDROGENASE,2.20,2.3,IC50=5mM,CFP
1il9,2002,P02879,RICIN A CHAIN,3.10,3.4,IC50=0.40mM,MOG
1gvw,2002,P11838,ENDOTHIAPEPSIN,1.00,6.96,Ki=110nM,0EM
1il4,2002,P02879,RICIN A CHAIN,2.60,2.85,IC50=1.4mM,9DG
1gyx,2002,P31992,HYPOTHETICAL PROTEIN YDCE,1.35,2.48,Ki=3.3mM,BEZ
1gmy,2002,P07858,CATHEPSIN B,1.90,7.35,IC50=45nM,3-mer
1il5,2002,P02879,RICIN A CHAIN,2.80,2.66,IC50=2.2mM,DDP
1gvx,2002,P11838,ENDOTHIAPEPSIN,1.00,7.22,Ki=60nM,6-mer
1il3,2002,P02879,RICIN A CHAIN,2.80,2.55,IC50=2.8mM,7DG
1loq,2002,O26232,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,1.50,3.7,Ki=0.2mM,U
1km3,2002,O26232,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,1.50,4.91,Ki=12.4uM,UP6
1lol,2002,O26232,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,1.90,6.39,Ki=0.41uM,XMP
1ihy,2002,P56649,GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE,3.00,3.74,Ki=0.18mM,APR
1juf,2002,P01899,H2-DB MAJOR HISTOCOMPATIBILITY ANTIGEN,2.00,5.85,IC50=1400nM,9-mer
1iup,2002,P96965,META-CLEAVAGE PRODUCT HYDROLASE,1.60,2.54,Ki=2.9mM,ALQ
1g9d,2002,P10844,BOTULINUM NEUROTOXIN TYPE B,2.20,5.3,IC50=5uM,BAB
1l7x,2002,P06737,GLYCOGEN PHOSPHORYLASE,2.30,4.04,Kd=92uM,CFF
1l5r,2002,P06737,GLYCOGEN PHOSPHORYLASE,2.10,4.77,Kd=17uM,RBF
1mwt,2002,O54286,PBP2A,2.45,1.88,Kd=13.3mM,PNM
1i2s,2002,P00808,BETA-LACTAMASE,1.70,3.31,Ki=490uM,CIT
1m5b,2002,P19491,GLUTAMATE RECEPTOR 2,1.85,8.01,IC50=9.7nM,BN1
1g9c,2002,P10844,BOTULINUM NEUROTOXIN TYPE B,2.35,5.3,IC50=5uM,BAB
1l8g,2002,P18031,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",2.50,6.22,Ki=0.6uM,DBD
1g9b,2002,P10844,BOTULINUM NEUROTOXIN TYPE B,2.00,5.3,IC50=5uM,BAB
1m5f,2002,P19491,GLUTAMATE RECEPTOR 2,1.95,7.83,IC50=14.8nM,AM1
1g9a,2002,P10844,BOTULINUM NEUROTOXIN TYPE B,2.10,5.3,IC50=5uM,BAB
1m5e,2002,P19491,GLUTAMATE RECEPTOR 2,1.46,7.7,IC50=20.1nM,AM1
1lb6,2002,Q9Y4K3,TNF RECEPTOR-ASSOCIATED FACTOR 6,1.80,4.08,Kd=84uM,9-mer
1h0r,2003,P36918,3-DEHYDROQUINATE DEHYDRATASE,2.10,3.7,Ki=200uM,FA1
1o3i,2003,P00760,TRYPSIN BETA,1.51,7.3,Ki=0.05uM,907
1oyn,2003,Q08499,CAMP-SPECIFIC PHOSPHODIESTERASE PDE4D2,2.00,6.26,IC50=0.55uM,ROL
1iwq,2003,P62158,CALMODULIN,2.00,8.06,Kd=8.8nM,19-mer
1q9m,2003,Q08499,CAMP-SPECIFIC PHOSPHODIESTERASE PDE4D2,2.30,6.48,IC50=0.33uM,ROL
1o3h,2003,P00760,TRYPSIN BETA,1.53,7.3,Ki=0.05uM,907
1o2q,2003,P00760,TRYPSIN BETA,1.50,7.68,Ki=0.021uM,991
1q3w,2003,P49841,GLYCOGEN SYNTHASE KINASE-3 BETA,2.30,8.4,IC50=4nM,ATU
1p6e,2003,P09598,PHOSPHOLIPASE C,2.30,2.92,Ki=1.21mM,PC5
1q3d,2003,P49841,GLYCOGEN SYNTHASE KINASE-3 BETA,2.20,7.82,IC50=15nM,STU
1o37,2003,P00760,TRYPSIN BETA,1.45,6.82,Ki=0.15uM,653
1nu3,2003,Q9ZAG3,"LIMONENE-1,2-EPOXIDE HYDROLASE",1.75,4.0,Ki=100uM,VPR
1o38,2003,P00760,TRYPSIN BETA,1.38,6.82,Ki=0.15uM,653
1o3j,2003,P00760,TRYPSIN BETA,1.40,6.77,Ki=0.17uM,334
1ntk,2003,P31800,UBIQUINOL-CYTOCHROME-C REDUCTASE COMPLEX CORE,2.60,10.49,Kd=32pM,AY1
1nu1,2003,P31800,UBIQUINOL-CYTOCHROME-C REDUCTASE COMPLEX CORE,3.20,7.19,Kd=64nM,QNO
1o30,2003,P00760,TRYPSIN BETA,1.55,6.77,Ki=0.17uM,693
1o3k,2003,P00760,TRYPSIN BETA,1.43,6.77,Ki=0.17uM,334
1o9d,2003,P93343,14-3-3-LIKE PROTEIN C,2.30,5.6,Kd=2.5uM,5-mer
1o9e,2003,P93343,14-3-3-LIKE PROTEIN C,2.60,4.18,Kd=66uM,FSC
1o3l,2003,P00760,TRYPSIN BETA,1.40,6.54,Ki=0.29uM,678
1ouy,2003,Q16539,MITOGEN-ACTIVATED PROTEIN KINASE 14,2.50,8.37,IC50=4.3nM,094
1ove,2003,Q16539,MITOGEN-ACTIVATED PROTEIN KINASE 14,2.10,9.13,IC50=0.74nM,358
1ouk,2003,Q16539,MITOGEN-ACTIVATED PROTEIN KINASE 14,2.50,9.89,IC50=0.13nM,084
1o2z,2003,P00760,TRYPSIN BETA,1.65,6.11,Ki=0.78uM,312
1o2o,2003,P00760,TRYPSIN BETA,1.63,6.36,Ki=0.44uM,950
1jt1,2003,Q9K578,METALLO-BETA-LACTAMASE CLASS B3,1.78,3.4,Ki=400uM,MCO
1n4h,2003,P45446,NUCLEAR RECEPTOR ROR-BETA,2.10,6.55,Ki=0.28uM,REA
1nq7,2003,P45446,NUCLEAR RECEPTOR ROR-BETA,1.50,6.8,Ki=0.16uM,ARL
1umw,2003,P53350,SERINE/THREONINE-PROTEIN KINASE PLK,1.90,6.55,Kd=280nM,7-mer
1h46,2003,Q09431,CELLULASE,1.52,3.57,Ki=270uM,RNP
1q41,2003,P49841,GLYCOGEN SYNTHASE KINASE-3 BETA,2.10,7.66,IC50=22nM,IXM
1oe8,2003,P30114,GLUTATHIONE S-TRANSFERASE,1.65,5.52,Kd=3uM,GSH
1o39,2003,P00760,TRYPSIN BETA,1.59,7.13,Ki=0.074uM,780
1q4l,2003,P49841,GLYCOGEN SYNTHASE KINASE-3 BETA,2.77,7.4,Kd=40nM,679
1oe7,2003,P30113,GLUTATHIONE S-TRANSFERASE,1.80,5.52,Kd=3uM,GSH
1o3d,2003,P00760,TRYPSIN BETA,1.33,7.13,Ki=0.074uM,780
1njs,2003,P22102,PHOSPHORIBOSYL GLYCINAMIDE FORMYLTRANSFERASE,1.98,7.82,Ki=15nM,KEU
1osg,2003,Q9Y275,TUMOR NECROSIS FACTOR LIGAND SUPERFAMILY MEMBER,3.00,7.52,Kd=30nM,12-mer
1o2h,2003,P00760,TRYPSIN BETA,1.77,7.17,Ki=0.068uM,CR3
1oif,2003,Q08638,BETA-GLUCOSIDASE A,2.12,7.72,Kd=19nM,IFM
1o3c,2003,P00760,TRYPSIN BETA,1.64,7.13,Ki=0.074uM,780
1o3b,2003,P00760,TRYPSIN BETA,1.75,7.13,Ki=0.074uM,780
1nf8,2003,Q7DC80,PHENAZINE BIOSYNTHESIS PROTEIN PHZD,1.60,7.82,Kd=0.015uM,ISC
1ui0,2003,Q7WYV4,URACIL-DNA GLYCOSYLASE,1.50,7.06,Ki=88nM,URA
1oyq,2003,P00760,TRYPSIN,1.90,6.96,Ki=110nM,T87
1l6m,2003,P80188,NEUTROPHIL GELATINASE-ASSOCIATED LIPOCALIN,2.40,8.1,Kd=7.9nM,DBH
1o2j,2003,P00760,TRYPSIN BETA,1.65,6.92,Ki=0.12uM,656
1o2k,2003,P00760,TRYPSIN BETA,1.63,6.92,Ki=0.12uM,656
1oim,2003,Q08638,BETA-GLUCOSIDASE A,2.15,5.32,Kd=4.8uM,NOJ
1q4k,2003,P53350,SERINE/THREONINE-PROTEIN KINASE PLK,2.30,6.55,Kd=280nM,6-mer
1qyg,2003,1qyg,"ANTIBODY FAB M82G2, LIGHT CHAIN",1.81,6.85,Kd=0.14uM,BCG
1o2t,2003,P00760,TRYPSIN BETA,1.62,7.85,Ki=0.014uM,783
1olu,2003,P12694,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,1.90,4.41,Kd=39.3uM,TDP
1ols,2003,P12694,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,1.85,5.82,Kd=1.52uM,TDP
1mh5,2003,P01837,IMMUNOGLOBULIN MS6-164,2.10,9.21,Kd=0.61nM,HAL
1mq6,2003,P00742,COAGULATION FACTOR XA,2.10,11.15,Ki=7pM,XLD
1oe0,2003,Q9XZT6,DEOXYNUCLEOSIDE KINASE,2.40,5.16,IC50=6.9uM,TTP
1okx,2003,P00772,ELASTASE 1,2.80,6.8,IC50=0.16uM,8-mer
1gt1,2003,P07435,ODORANT-BINDING PROTEIN,1.71,6.0,Kd=1uM,ANC
1mx1,2003,P23141,LIVER CARBOXYLESTERASE I,2.40,4.0,Ki>100uM,THA
1nqc,2003,P25774,CATHEPSIN S,1.80,7.3,Ki=50nM,C4P
1gt5,2003,P07435,ODORANT-BINDING PROTEIN,2.08,6.1,Kd=0.8uM,BZQ
1gt3,2003,P07435,ODORANT-BINDING PROTEIN,1.80,6.46,Kd=0.35uM,DHM
1gt4,2003,P07435,ODORANT-BINDING PROTEIN,2.10,6.52,Kd=0.3uM,UNA
1ndj,2003,P22629,STREPTAVIDIN,1.81,12.16,Kd~0.69pM,BTN
1n9m,2003,P22629,STREPTAVIDIN,1.60,10.96,Kd~11pM,BTN
1n43,2003,P22629,STREPTAVIDIN,1.89,10.55,Kd~28pM,BTN
1npz,2003,P25774,CATHEPSIN S,2.00,7.89,Ki=13nM,C1P
1mq5,2003,P00742,COAGULATION FACTOR X,2.10,9.0,Ki=1nM,XLC
1nfw,2003,P00742,COAGULATION FACTOR XA,2.10,8.96,Ki=1.1nM,RRR
1nfy,2003,P00742,COAGULATION FACTOR XA,2.10,8.89,Ki=1.3nM,RTR
1gz3,2003,P23368,NAD-DEPENDENT MALIC ENZYME,2.30,3.7,Ki=0.20mM,ATP
1ms6,2003,P25774,CATHEPSIN S,1.90,9.52,Kd=0.3nM,BLN
1nhw,2003,Q9BH77,ENOYL-ACYL CARRIER REDUCTASE,2.35,4.84,Ki=14.3uM,TCC
1nfx,2003,P00742,COAGULATION FACTOR XA,2.15,8.52,Ki=3.0nM,RDR
1lqd,2003,P00742,COAGULATION FACTOR XA,2.70,8.05,Ki=9nM,CMI
1nfu,2003,P00742,COAGULATION FACTOR XA,2.05,7.74,Ki=18nM,RRP
1nnu,2003,Q9BH77,ENOYL-ACYL CARRIER REDUCTASE,2.50,6.82,Ki=0.15uM,TCT
1nhg,2003,Q9BH77,ENOYL-ACYL CARRIER REDUCTASE,2.43,7.3,Ki=0.05uM,TCL
1o2p,2003,P00760,TRYPSIN BETA,1.47,4.85,Ki=14uM,972
1o35,2003,P00760,TRYPSIN BETA,1.41,5.0,Ki=10uM,802
1olx,2003,P12694,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,2.25,4.33,Kd=47.1uM,TDP
1o6i,2003,P11797,CHITINASE B,1.70,3.19,Ki=0.65mM,0HZ
1urg,2003,Q9RHZ6,MALTOSE BINDING PROTEIN,1.80,5.82,Kd=1.5uM,MAL
1nj1,2003,O26708,PROLINE-TRNA SYNTHETASE,2.55,7.6,Ki=25nM,5CA
1p6d,2003,P09598,PHOSPHOLIPASE C,2.00,2.94,Ki=1.15mM,3PC
1jn2,2003,P02866,CONCANAVALIN A,1.90,4.09,Kd=82uM,SFP
1odj,2003,Q5SID9,PURINE NUCLEOSIDE PHOSPHORYLASE,2.40,4.1,Kd=80uM,GMP
1onp,2003,P45568,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,2.50,7.52,IC50=0.030uM,FOM
1odi,2003,Q5SID9,PURINE NUCLEOSIDE PHOSPHORYLASE,2.40,4.21,Kd=62uM,ADN
1nzl,2003,P00524,TYROSINE-PROTEIN KINASE SRC,1.90,7.15,Kd=0.07uM,8-mer
1nzv,2003,P00524,TYROSINE-PROTEIN KINASE SRC,2.10,6.4,Kd=0.40uM,8-mer
1nli,2003,P09989,RIBOSOME-INACTIVATING PROTEIN ALPHA,1.93,3.59,Kd=260uM,ADE
1nc3,2003,P24247,MTA/SAH NUCLEOSIDASE,2.20,5.0,Ki=10uM,FMC
1lyx,2003,Q07412,TRIOSEPHOSPHATE ISOMERASE,1.90,4.54,Ki=0.029mM,PGA
1nc1,2003,P24247,MTA/SAH NUCLEOSIDASE,2.00,6.12,Ki=0.75uM,MTH
1nmk,2003,P62937,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,2.10,8.24,IC50=5.7nM,SFM
1lzo,2003,Q07412,TRIOSEPHOSPHATE ISOMERASE,2.80,4.54,Ki=0.029mM,PGA
1kr3,2003,P25910,BETA-LACTAMASE TYPE II,2.50,5.0,Ki=10uM,113
1mzc,2003,P49354,FARNESYLTRANSFERASE ALPHA SUBUNIT,2.00,10.22,IC50=0.06nM,BNE
1nl4,2003,Q04631,FARNESYLTRANSFERASE ALPHA SUBUNIT,2.70,9.41,IC50=0.39nM,FTL
1n94,2003,Q04631,FARNESYLTRANSFERASE ALPHA SUBUNIT,3.50,8.96,IC50=1.1nM,TIN
1pr1,2003,P09743,PURINE NUCLEOSIDE PHOSPHORYLASE,2.30,5.3,Ki=5uM,FMB
1pr5,2003,P09743,PURINE NUCLEOSIDE PHOSPHORYLASE,2.50,3.92,Ki=120uM,TBN
1pyw,2003,P01903,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN",2.10,7.7,IC50=20nM,10-mer
1n95,2003,Q04631,FARNESYLTRANSFERASE ALPHA SUBUNIT,2.30,8.92,IC50=1.2nM,FTH
1o5m,2003,Q04631,FARNESYLTRANSFERASE ALPHA SUBUNIT,2.30,8.72,IC50=1.9nM,336
1n9a,2003,Q04631,FARNESYLTRANSFERASE ALPHA SUBUNIT,3.20,8.66,IC50=2.2nM,FTI
1o1s,2003,Q04631,FARNESYLTRANSFERASE ALPHA SUBUNIT,2.30,7.31,Ki=49nM,1NH
1ow8,2003,Q05397,FOCAL ADHESION KINASE 1,2.85,5.4,Kd=4uM,13-mer
1ow6,2003,Q05397,FOCAL ADHESION KINASE 1,2.35,5.4,Kd=4uM,13-mer
1n51,2003,P15034,XAA-PRO AMINOPEPTIDASE,2.30,4.85,Ki=14uM,4-mer
1ow7,2003,Q05397,FOCAL ADHESION KINASE 1,2.60,5.4,Kd=4uM,13-mer
1mj7,2003,1mj7,IMMUNOGLOBULIN MS5-393,2.25,8.35,Kd=4.50nM,HAL
1nj5,2003,O26708,PROLINE-TRNA SYNTHETASE,2.80,7.3,Ki=50nM,P5A
1me7,2003,P50097,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE,2.15,7.19,Ki=65nM,RVP
1lpz,2003,P00742,COAGULATION FACTOR XA,2.40,7.6,Ki=25nM,CMB
1lpk,2003,P00742,COAGULATION FACTOR XA,2.20,7.55,Ki=28nM,CBB
1nkm,2003,P16753,CAPSID PROTEIN P40,2.70,7.3,IC50<0.05uM,0FP
1nju,2003,P16753,CAPSID PROTEIN P40,2.70,7.3,IC50<0.05uM,0FP
1np0,2003,P07686,BETA-HEXOSAMINIDASE BETA CHAIN,2.50,3.57,Ki=270uM,NGT
1njt,2003,P16753,CAPSID PROTEIN P40,2.50,4.82,IC50=15uM,6-mer
1o8b,2003,P0A7Z0,RIBOSE-5-PHOSPHATE ISOMERASE,1.25,2.68,Ki=2.1mM,ABF
1ntv,2003,P97318,DISABLED HOMOLOG 1,1.50,5.82,Kd=1.5uM,14-mer
1ucn,2003,P15531,NUCLEOSIDE DIPHOSPHATE KINASE A,2.00,5.22,Kd=6.0uM,ADP
1pu8,2003,O25323,3-METHYLADENINE DNA GLYCOSYLASE,2.13,3.1,Ki=0.8mM,EA1
1pu7,2003,O25323,3-METHYLADENINE DNA GLYCOSYLASE,1.93,3.1,Ki=0.8mM,39A
1m5w,2003,P0A794,PYRIDOXAL PHOSPHATE BIOSYNTHETIC PROTEIN PDXJ,1.96,4.27,Kd=54uM,DXP
1o2u,2003,P00760,TRYPSIN BETA,1.41,5.85,Ki=1.4uM,847
1o36,2003,P00760,TRYPSIN BETA,1.70,5.96,Ki=1.1uM,607
1p7m,2003,P05100,DNA-3-METHYLADENINE GLYCOSYLASE I,NMR,4.38,Kd=42uM,ADK
1njj,2003,Q9TZZ6,ORNITHINE DECARBOXYLASE,2.45,2.1,Ki=8mM,GET
1nlj,2003,P43235,CATHEPSIN K,2.40,9.8,Ki=0.16nM,2CA
1nl6,2003,P43235,CATHEPSIN K,2.80,11.32,Ki=4.8pM,750
1nc6,2003,P00760,TRYPSINOGEN,1.90,8.0,Ki=10nM,ABB
1o3f,2003,P00760,TRYPSIN BETA,1.55,7.96,Ki=0.011uM,696
1o3e,2003,P00760,TRYPSIN BETA,1.64,7.96,Ki=0.011uM,696
1n7m,2003,P01857,GERMLINE METAL CHELATASE CATALYTIC ANTIBODY,1.80,5.71,Kd=1.96uM,NMP
1o3g,2003,P00760,TRYPSIN BETA,1.55,7.96,Ki=0.011uM,696
1ngw,2003,P06328,"MATURE METAL CHELATASE CATALYTIC ANTIBODY, LIGHT",2.60,7.68,Kd=20.7nM,MMP
1pmn,2003,P53779,MITOGEN-ACTIVATED PROTEIN KINASE 10,2.20,8.15,IC50=7.1nM,984
1n2v,2003,P28720,QUEUINE TRNA-RIBOSYLTRANSFERASE,2.10,4.08,Ki=83uM,BDI
1o2n,2003,P00760,TRYPSIN BETA,1.50,6.09,Ki=0.81uM,762
1pmv,2003,P53779,MITOGEN-ACTIVATED PROTEIN KINASE 10,2.50,6.82,IC50=150nM,537
1pmu,2003,P53779,MITOGEN-ACTIVATED PROTEIN KINASE 10,2.70,6.23,IC50=590nM,9HP
1mrs,2003,O05891,THYMIDYLATE KINASE,2.00,3.96,Ki=110uM,5HU
1mrn,2003,O05891,THYMIDYLATE KINASE,2.45,4.52,Ki=30uM,T5A
1o2y,2003,P00760,TRYPSIN BETA,1.45,5.85,Ki=1.4uM,847
1lke,2003,P09464,"BILIN-BINDING PROTEIN, DIGA16",1.90,7.52,Kd=30.2nM,DOG
1o2x,2003,P00760,TRYPSIN BETA,1.46,5.85,Ki=1.4uM,847
1p4u,2003,Q9NZ52,ADP-RIBOSYLATION FACTOR BINDING PROTEIN GGA3,2.20,5.3,Kd=5uM,13-mer
1me8,2003,P50097,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE,1.90,7.19,Ki=65nM,RVP
1o2r,2003,P00760,TRYPSIN BETA,1.45,5.21,Ki=6.1uM,CR9
1o2s,2003,P00760,TRYPSIN BETA,1.65,5.47,Ki=3.4uM,CR4
1mjj,2003,1mjj,IMMUNOGLOBULIN MS6-12,2.10,8.74,Kd=1.83nM,HAL
1ozv,2003,Q43088,"RIBULOSE-1,5 BISPHOSPHATE CARBOXYLASE/OXYGENASE",2.65,1.44,Ki=36.6mM,LYS
1p0y,2003,Q43088,"RIBULOSE-1,5 BISPHOSPHATE CARBOXYLASE/OXYGENASE",2.55,1.0,Ki=100.8mM,MLZ
1o34,2003,P00760,TRYPSIN BETA,1.50,5.74,Ki=1.8uM,801
1py1,2003,Q9UJY5,ADP-RIBOSYLATION FACTOR BINDING PROTEIN GGA1,2.60,4.4,Kd=40uM,7-mer
1lpg,2003,P00742,COAGULATION FACTOR XA,2.00,7.09,Ki=82nM,IMA
